NÚM.;AÑO;NIVEL;GÉNERO;GRADO;GRUPO;FECHA NAC;EDAD;NACIONALIDAD;EDO. ORIGEN;MUNICIPIO;NIVEL DE PROCEDENCIA;INGRESO;NIVEL ACTUAL;CATEGORÍA;UNIDAD ACADÉMICA;PROGRAMA EDUCATIVO;SEDE;EDO. SEDE;FECHA DE INGRESO;EDO. CIVIL;PAIS EST;LUGAR BACHILLERATO;INSTITUCIÓN;NUEVO INGRESO;LENGUA;AFRODESCENDIENTE;DISCAPACIDAD;TIPO DISCAPACIDAD
559;2022;LICENCIATURA;H;7;6;29/09/2000;22;MEXICANA;OAXACA;SAN ILDEFONSO VILLA ALTA, OAX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;INGENIERÍA EN ECONOMÍA AGRÍCOLA;CHAPINGO;MÉXICO;22/07/2016;;;;;;;;;
560;2022;MEDIO SUPERIOR;H;8;20;7/06/2004;18;MEXICANA;VERACRUZ;VIGAS DE RAMIREZ,LAS, VER.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;CRUO;VERACRUZ;5/08/2022;;;;;NI;;;SÍ;Discapacidad visual Baja Visión
561;2022;LICENCIATURA;H;6;6;23/06/2002;20;MEXICANA;HIDALGO;NICOLAS FLORES, HGO.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA MECÁNICA AGRÍCOLA;INGENIERÍA MECATRÓNICA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2017;;;;;;;;;
562;2022;LICENCIATURA;H;7;3;14/08/2001;21;MEXICANA;CHIAPAS;PALENQUE, CHIS.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;22/07/2016;;;;;;TSELTAL;;;
563;2022;MEDIO SUPERIOR;H;8;8;12/09/2004;18;MEXICANA;PUEBLA;HUEYTLALPAN, PUE.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;CHAPINGO;MÉXICO;3/08/2022;;;;;NI;;;;
564;2022;LICENCIATURA;H;5;1;19/11/2002;19;MEXICANA;VERACRUZ;JUCHIQUE DE FERRER, VER.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA MECÁNICA AGRÍCOLA;INGENIERO MECÁNICO AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;;;;
565;2022;LICENCIATURA;M;6;3;15/12/2002;19;MEXICANA;MÉXICO;TEXCOCO, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;2/08/2017;;;;;;;;;
566;2022;LICENCIATURA;H;5;4;21/01/2000;22;MEXICANA;MORELOS;JONACATEPEC, MOR.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍCOLA;INGENIERO AGRÓNOMO ESPECIALISTA EN PARASITOLOGÍA AGRÍCOLA;CHAPINGO;MÉXICO;23/08/2019;;;;;;;;;
567;2022;LICENCIATURA;M;6;5;30/10/2002;19;MEXICANA;HIDALGO;NICOLAS FLORES, HGO.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;31/07/2017;;;;;;OTOMÍ;;;
568;2022;MEDIO SUPERIOR;H;1;4;9/04/2007;15;MEXICANA;HIDALGO;TEZONTEPEC DE ALDAMA, HGO.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2022;;;;;NI;;;;
569;2022;LICENCIATURA;M;7;4;3/11/1999;22;MEXICANA;QUERÉTARO;COLON, QRO.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;27/07/2015;;;;;;;;;
570;2022;LICENCIATURA;H;5;4;14/10/2003;18;MEXICANA;PUEBLA;IXTEPEC, PUE.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;31/07/2018;;;;;;TOTONACO;;;
571;2022;LICENCIATURA;H;5;1;7/06/1995;27;MEXICANA;MORELOS;TLALNEPANTLA, MOR.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA MECÁNICA AGRÍCOLA;INGENIERO MECÁNICO AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;;;;
572;2022;LICENCIATURA;M;6;2;14/07/2002;20;MEXICANA;MÉXICO;CHIMALHUACAN, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;31/07/2017;;;;;;;;;
573;2022;LICENCIATURA;H;6;5;29/06/2000;22;MEXICANA;GUERRERO;ZIRANDARO, GRO.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;26/08/2019;;;;;;;;;
574;2022;MEDIO SUPERIOR;M;3;12;11/05/2003;19;MEXICANA;GUERRERO;MARTIR DE CUILAPAN, GRO.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/08/2020;;;;;;;;;
575;2022;MEDIO SUPERIOR;M;1;2;17/08/2007;15;MEXICANA;CHIAPAS;VILLA FLORES, CHIS.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2022;;;;;NI;;;;
576;2022;LICENCIATURA;H;7;1;8/10/2001;20;MEXICANA;GUERRERO;AYUTLA DE LOS LIBRES, GRO.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;22/07/2016;;;;;;;;;
577;2022;MEDIO SUPERIOR;M;3;2;15/02/2002;20;MEXICANA;HIDALGO;APAN, HGO.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;;;;
578;2022;MEDIO SUPERIOR;H;2;12;28/02/2006;16;MEXICANA;OAXACA;SANTA CATARINA MINAS, OAX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
579;2022;MEDIO SUPERIOR;H;2;1;25/08/2006;16;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
580;2022;LICENCIATURA;H;7;1;5/07/1998;24;MEXICANA;MÉXICO;TECAMAC, MEX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN SOCIOLOGÍA RURAL;INGENIERO AGRÓNOMO ESPECIALISTA EN SOCIOLOGÍA RURAL;CHAPINGO;MÉXICO;3/08/2018;;;;;;AKATEKO;;;
581;2022;MEDIO SUPERIOR;H;3;14;1/04/2005;17;MEXICANA;MÉXICO;TECAMAC, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/08/2020;;;;;;;;;
582;2022;LICENCIATURA;H;5;5;19/02/2003;19;MEXICANA;PUEBLA;AJALPAN, PUE.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;30/07/2018;;;;;;NÁHUATL;;;
583;2022;LICENCIATURA;H;6;2;8/08/1998;24;MEXICANA;GUERRERO;TLACOACHISTLAHUACA, GRO.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;6/08/2018;;;;;;MIXTECO;;;
584;2022;LICENCIATURA;M;7;1;17/02/2000;22;MEXICANA;VERACRUZ;MIXTLA DE ALTAMIRANO, VER.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;CENTRO REGIONAL UNIVERSITARIO ORIENTE, VERACRUZ;INGENIERÍA EN GESTIÓN DE REDES AGROALIMENTARIAS;CRUO;VERACRUZ;7/08/2018;;;;;;NÁHUATL;;;
585;2022;MEDIO SUPERIOR;H;1;7;1/06/2007;15;MEXICANA;PUEBLA;HUAQUECHULA, PUE.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;2/08/2022;;;;;NI;;;;
586;2022;LICENCIATURA;H;5;7;8/04/2002;20;MEXICANA;VERACRUZ;PAPANTLA, VER.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DEIS EN FITOTECNIA;LICENCIATURA EN AGRONOMÍA EN HORTICULTURA PROTEGIDA;CHAPINGO;MÉXICO;2/08/2017;;;;;;;;;
587;2022;LICENCIATURA;H;5;4;24/12/2002;19;MEXICANA;VERACRUZ;JESUS CARRANZA, VER.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN ECONOMÍA;CHAPINGO;MÉXICO;12/08/2020;;;;;;;;;
588;2022;MEDIO SUPERIOR;H;8;4;21/05/2003;19;MEXICANA;HIDALGO;HUEJUTLA DE REYES, HGO.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;CHAPINGO;MÉXICO;3/08/2022;;;;;NI;;;;
589;2022;MEDIO SUPERIOR;H;2;18;31/05/2006;16;MEXICANA;MÉXICO;TEPETLAOXTOC, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
590;2022;LICENCIATURA;M;4;1;14/03/2002;20;MEXICANA;VERACRUZ;FORTIN, VER.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;EXTERNO;CENTRO REGIONAL UNIVERSITARIO ORIENTE, VERACRUZ;INGENIERÍA EN GESTIÓN DE REDES AGROALIMENTARIAS;CRUO;VERACRUZ;9/06/2021;;;VERACRUZ;;NI;;SÍ;;
591;2022;MEDIO SUPERIOR;H;3;30;17/09/2002;20;MEXICANA;CHIHUAHUA;ALLENDE, CHIH.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;URUZA;DURANGO;12/07/2020;;;;;;;;;
592;2022;MEDIO SUPERIOR;H;1;30;30/08/2007;15;MEXICANA;TAMAULIPAS;OCAMPO, TAMPS.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;URUZA;DURANGO;5/08/2022;;;;;NI;;;;
593;2022;LICENCIATURA;H;5;5;19/02/2002;20;MEXICANA;TAMAULIPAS;OCAMPO, TAMPS.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;INGENIERÍA EN ECONOMÍA AGRÍCOLA;CHAPINGO;MÉXICO;12/06/2020;;;;;;;;;
594;2022;LICENCIATURA;M;6;1;9/09/1989;33;MEXICANA;TLAXCALA;TLAXCO, TLAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN SOCIOLOGÍA RURAL;INGENIERO AGRÓNOMO ESPECIALISTA EN SOCIOLOGÍA RURAL;CHAPINGO;MÉXICO;6/09/2019;;;;;;;;;
595;2022;MEDIO SUPERIOR;M;2;14;3/01/2006;16;MEXICANA;SAN LUIS POTOSÍ;RAYON, S.L.P.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
596;2022;MEDIO SUPERIOR;H;8;3;7/12/2000;21;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;CHAPINGO;MÉXICO;9/06/2021;;;;;RI;;;;
597;2022;MEDIO SUPERIOR;H;1;3;23/08/2006;16;MEXICANA;OAXACA;ZAACHILA, OAX.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;2/08/2022;;;;;NI;;;;
598;2022;MEDIO SUPERIOR;H;2;9;1/08/2006;16;MEXICANA;OAXACA;SANTA MARIA TECOMAVACA, OAX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
599;2022;MEDIO SUPERIOR;H;2;4;23/07/2005;17;MEXICANA;MÉXICO;CHIMALHUACAN, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/06/2020;;;;;;;;;
600;2022;LICENCIATURA;M;5;1;25/10/1997;24;MEXICANA;MÉXICO;NEZAHUALCOYOTL, MEX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN COMERCIO INTERNACIONAL;CHAPINGO;MÉXICO;12/07/2020;;;;;;;;;
601;2022;LICENCIATURA;M;6;2;24/01/2001;21;MEXICANA;VERACRUZ;COMAPA, VER.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;22/08/2019;;;;;;;;;
602;2022;LICENCIATURA;H;4;1;18/04/2004;18;MEXICANA;CHIAPAS;JIQUIPILAS, CHIS.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;CENTRO REGIONAL UNIVERSITARIO SUR, OAXACA;INGENIERÍA EN AGRICULTURA SOSTENIBLE;CRUS;OAXACA;19/08/2019;;;MÉXICO;;NI;;;;
603;2022;LICENCIATURA;H;7;6;24/10/1999;22;MEXICANA;OAXACA;SAN FRANCISCO SOLA, OAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA MECÁNICA AGRÍCOLA;INGENIERÍA MECATRÓNICA AGRÍCOLA;CHAPINGO;MÉXICO;2/08/2018;;;;;;;;;
604;2022;LICENCIATURA;H;5;7;24/06/1999;23;MEXICANA;OAXACA;SAN JUAN MAZATLAN, OAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS FORESTALES;INGENIERÍA EN RESTAURACIÓN FORESTAL;CHAPINGO;MÉXICO;12/07/2020;;;;;;MIXTECO;;SÍ;Discapacidad visual Baja Visión
605;2022;LICENCIATURA;H;5;4;3/12/2001;20;MEXICANA;VERACRUZ;COMAPA, VER.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;12/07/2020;;;;;;;;;
606;2022;LICENCIATURA;M;4;2;9/03/2002;20;MEXICANA;OAXACA;SANTA CRUZ XOXOCOTLAN, OAX.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;2/08/2017;;;MÉXICO;;NI;CHATINO;;;
607;2022;LICENCIATURA;M;7;7;27/04/2001;21;MEXICANA;OAXACA;SAN JACINTO TLACOTEPEC, OAX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA MECÁNICA AGRÍCOLA;INGENIERÍA MECATRÓNICA AGRÍCOLA;CHAPINGO;MÉXICO;22/07/2016;;;;;;;;;
608;2022;MEDIO SUPERIOR;H;3;4;29/04/2005;17;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/08/2020;;;;;;CHONTAL DE OAXACA;;;
609;2022;LICENCIATURA;H;5;7;26/02/2001;21;MEXICANA;MÉXICO;TEXCOCO, MEX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN ADMINISTRACIÓN Y NEGOCIOS;CHAPINGO;MÉXICO;23/08/2019;;;;;;;;;
610;2022;LICENCIATURA;H;6;6;26/04/2002;20;MEXICANA;MÉXICO;TEXCOCO, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;EXTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;2/08/2017;;;;;;;;;
611;2022;LICENCIATURA;H;7;4;16/11/2000;21;MEXICANA;MÉXICO;TEXCOCO, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN ECONOMÍA;CHAPINGO;MÉXICO;21/07/2016;;;;;;;;;
612;2022;LICENCIATURA;H;7;7;3/02/2001;21;MEXICANA;MICHOACÁN;TUZANTLA, MICH.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;LICENCIATURA EN AGRONOMÍA EN HORTICULTURA PROTEGIDA;CHAPINGO;MÉXICO;23/07/2016;;;;;;;;;
613;2022;MEDIO SUPERIOR;M;2;17;15/06/2006;16;MEXICANA;MÉXICO;CHICONCUAC, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
614;2022;LICENCIATURA;H;4;7;16/12/2004;17;MEXICANA;MÉXICO;CHICONCUAC, MEX.;PREPARATORIA;PREPARATORIA;LICENCIATURA;EXTERNO;DEIS EN INGENIERÍA MECÁNICA AGRÍCOLA;INGENIERÍA MECATRÓNICA AGRÍCOLA;CHAPINGO;MÉXICO;21/08/2019;;;MÉXICO;;NI;;;;
615;2022;MEDIO SUPERIOR;H;2;1;11/09/2004;18;MEXICANA;HIDALGO;JUAREZ HIDALGO, HGO.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/09/2020;;;;;;;;;
616;2022;LICENCIATURA;H;5;1;13/01/2001;21;MEXICANA;SAN LUIS POTOSÍ;CIUDAD DEL MAIZ, S.L.P.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;30/08/2019;;;;;;;;;
617;2022;MEDIO SUPERIOR;H;1;2;12/12/2007;14;MEXICANA;HIDALGO;LOLOTLA, HGO.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2022;;;;;NI;;;;
618;2022;MEDIO SUPERIOR;M;2;1;22/09/2006;16;MEXICANA;OAXACA;SAN SEBASTIAN COATLAN, OAX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
619;2022;LICENCIATURA;H;4;1;2/01/2004;18;MEXICANA;OAXACA;SAN SEBASTIAN IXCAPA, OAX.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA MECÁNICA AGRÍCOLA;INGENIERO MECÁNICO AGRÍCOLA;CHAPINGO;MÉXICO;19/08/2019;;;MÉXICO;;NI;;;;
620;2022;LICENCIATURA;H;6;3;28/02/2002;20;MEXICANA;MÉXICO;TEXCOCO, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;EXTERNO;DEIS EN INGENIERÍA AGROINDUSTRIAL;INGENIERÍA AGROINDUSTRIAL;CHAPINGO;MÉXICO;31/07/2017;;;;;;;;;
621;2022;MEDIO SUPERIOR;H;3;18;9/03/2005;17;MEXICANA;SAN LUIS POTOSÍ;AQUISMON, S.L.P.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/09/2020;;;;;;;;;
622;2022;LICENCIATURA;H;7;4;17/03/2001;21;MEXICANA;DURANGO;MAPIMI, DGO.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍCOLA;INGENIERO AGRÓNOMO ESPECIALISTA EN PARASITOLOGÍA AGRÍCOLA;CHAPINGO;MÉXICO;2/08/2016;;;;;;;;;
623;2022;LICENCIATURA;H;5;2;21/09/2002;20;MEXICANA;MÉXICO;CHIMALHUACAN, MEX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;12/09/2020;;;;;;TARASCO;;;
624;2022;MEDIO SUPERIOR;M;3;1;14/01/2005;17;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;;;;
625;2022;MEDIO SUPERIOR;H;2;3;11/11/2004;17;MEXICANA;MÉXICO;ATENCO, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/09/2020;;;;;;;;;
626;2022;LICENCIATURA;H;5;10;3/04/2000;22;MEXICANA;MÉXICO;TEXCOCO, MEX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN COMERCIO INTERNACIONAL;CHAPINGO;MÉXICO;12/09/2020;;;;;;;;;
627;2022;LICENCIATURA;H;6;3;15/03/2001;21;MEXICANA;MÉXICO;COATEPEC HARINAS, MEX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍCOLA;INGENIERO AGRÓNOMO ESPECIALISTA EN PARASITOLOGÍA AGRÍCOLA;CHAPINGO;MÉXICO;23/08/2019;;;;;;;;;
628;2022;LICENCIATURA;H;6;5;14/02/2002;20;MEXICANA;QUERÉTARO;EZEQUIEL MONTES, QRO.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;1/08/2017;;;;;;;;;
629;2022;MEDIO SUPERIOR;M;2;8;26/08/2005;17;MEXICANA;PUEBLA;CHIGNAHUAPAN, PUE.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/09/2020;;;;;;;;;
630;2022;MEDIO SUPERIOR;H;3;10;27/01/2004;18;MEXICANA;GUANAJUATO;DOLORES HIDALGO, GTO.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/08/2020;;;;;;;;;
631;2022;MEDIO SUPERIOR;M;1;26;12/01/2007;15;MEXICANA;GUERRERO;ACATEPEC GUERRERO;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2022;;;;;NI;;;;
632;2022;LICENCIATURA;M;5;5;4/12/2003;18;MEXICANA;GUERRERO;ACATEPEC GUERRERO;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;31/07/2018;;;;;;TLAPANECO;;;
