NÚM.;AÑO;NIVEL;GÉNERO;GRADO;GRUPO;FECHA NAC;EDAD;NACIONALIDAD;EDO. ORIGEN;MUNICIPIO;NIVEL DE PROCEDENCIA;INGRESO;NIVEL ACTUAL;CATEGORÍA;UNIDAD ACADÉMICA;PROGRAMA EDUCATIVO;SEDE;EDO. SEDE;FECHA DE INGRESO;EDO. CIVIL;PAIS EST;LUGAR BACHILLERATO;INSTITUCIÓN;NUEVO INGRESO;LENGUA;AFRODESCENDIENTE;DISCAPACIDAD;TIPO DISCAPACIDAD
4111;2022;MEDIO SUPERIOR;H;1;8;15/03/2007;15;MEXICANA;CDMX;MAGDALENA CONTRERAS, LA, D.F.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2022;;;;;NI;;;;
4112;2022;LICENCIATURA;M;6;1;12/08/1997;25;MEXICANA;OAXACA;SAN JUAN NUMI, OAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA AGROINDUSTRIAL;INGENIERÍA AGROINDUSTRIAL;CHAPINGO;MÉXICO;30/08/2019;;;;;;ZAPOTECO;;;
4113;2022;MEDIO SUPERIOR;M;8;18;23/09/2002;20;MEXICANA;OAXACA;SANTA GERTRUDIS, OAX.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;CRUS;OAXACA;12/07/2020;;;;;RI;;;;
4114;2022;MEDIO SUPERIOR;M;3;8;18/10/2004;17;MEXICANA;SAN LUIS POTOSÍ;TANCANHUITZ DE SANTOS, S.L.P.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;20/08/2019;;;;;;NÁHUATL;;;
4115;2022;LICENCIATURA;M;4;7;25/10/2002;19;MEXICANA;OAXACA;SANTA MARIA ASUNCION, OAX.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS FORESTALES;INGENIERÍA EN RESTAURACIÓN FORESTAL;CHAPINGO;MÉXICO;2/08/2017;;;MÉXICO;;NI;;;;
4116;2022;MEDIO SUPERIOR;M;2;18;7/01/2005;17;MEXICANA;PUEBLA;TEHUACAN, PUE.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
4117;2022;LICENCIATURA;M;7;2;25/03/1999;23;MEXICANA;CHIAPAS;SILTEPEC, CHIS.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS FORESTALES;INGENIERO FORESTAL;CHAPINGO;MÉXICO;22/07/2014;;;;;;;;;
4118;2022;MEDIO SUPERIOR;M;3;7;14/10/2004;17;MEXICANA;CHIAPAS;FRONTERA COMALAPA, CHIS.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;19/08/2019;;;;;;;;;
4119;2022;LICENCIATURA;H;4;6;28/09/2002;20;MEXICANA;OAXACA;IXTLAN DE JUAREZ, OAX.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DEIS EN INGENIERÍA MECÁNICA AGRÍCOLA;INGENIERÍA MECATRÓNICA AGRÍCOLA;CHAPINGO;MÉXICO;31/07/2017;;;MÉXICO;;NI;ZAPOTECO;;;
4120;2022;MEDIO SUPERIOR;M;1;20;7/11/2007;14;MEXICANA;TLAXCALA;APIZACO, TLAX.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;2/08/2022;;;;;NI;;;;
4121;2022;LICENCIATURA;H;6;3;31/08/2000;22;MEXICANA;NAYARIT;TEPIC, NAY.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS FORESTALES;INGENIERO FORESTAL INDUSTRIAL;CHAPINGO;MÉXICO;30/08/2019;;;;;;;;;
4122;2022;LICENCIATURA;H;4;6;12/08/2002;20;MEXICANA;PUEBLA;IXTACAMAXTITLAN, PUE.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;LICENCIATURA EN AGRONOMÍA EN HORTICULTURA PROTEGIDA;CHAPINGO;MÉXICO;9/06/2021;;;PUEBLA;;NI;;;;
4123;2022;MEDIO SUPERIOR;H;8;3;8/03/2003;19;MEXICANA;SAN LUIS POTOSÍ;TANLAJAS, S.L.P.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;CHAPINGO;MÉXICO;3/08/2022;;;;;NI;;;;
4124;2022;MEDIO SUPERIOR;M;2;1;17/08/2006;16;MEXICANA;OAXACA;SANTA MARIA ASUNCION, OAX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;17/09/2021;;;;;;;;;
4125;2022;LICENCIATURA;M;7;7;20/12/1999;22;MEXICANA;PUEBLA;MORELOS CANADA, PUE.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;LICENCIATURA EN AGRONOMÍA EN HORTICULTURA PROTEGIDA;CHAPINGO;MÉXICO;7/08/2018;;;;;;;;;
4126;2022;MEDIO SUPERIOR;M;2;8;20/08/2006;16;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;SÍ;;
4127;2022;LICENCIATURA;M;5;3;1/07/2002;20;MEXICANA;TLAXCALA;CALPULALPAN, TLAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA AGROINDUSTRIAL;INGENIERÍA AGROINDUSTRIAL;CHAPINGO;MÉXICO;12/06/2020;;;;;;;;;
4128;2022;MEDIO SUPERIOR;H;3;13;7/01/2004;18;MEXICANA;VERACRUZ;HUEYAPAN DE OCAMPO, VER.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;19/08/2019;;;;;;POPOLUCA DE LA SIERRA;;;
4129;2022;LICENCIATURA;H;5;7;13/08/2003;19;MEXICANA;VERACRUZ;ATZALAN, VER.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN ADMINISTRACIÓN Y NEGOCIOS;CHAPINGO;MÉXICO;30/07/2018;;;;;;;;;
4130;2022;LICENCIATURA;H;6;6;20/04/2002;20;MEXICANA;MORELOS;PUENTE DE IXTLA, MOR.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA MECÁNICA AGRÍCOLA;INGENIERÍA MECATRÓNICA AGRÍCOLA;CHAPINGO;MÉXICO;31/07/2017;;;;;;;;;
4131;2022;LICENCIATURA;M;7;1;1/09/1998;24;MEXICANA;PUEBLA;AJALPAN, PUE.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;23/07/2016;;;;;;NÁHUATL;;;
4132;2022;LICENCIATURA;H;5;2;1/01/2001;21;MEXICANA;MÉXICO;COACALCO, MEX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN COMERCIO INTERNACIONAL;CHAPINGO;MÉXICO;23/08/2019;;;;;;;;;
4133;2022;MEDIO SUPERIOR;M;2;20;6/03/2005;17;MEXICANA;HIDALGO;MINERAL DE LA REFORMA, HGO.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/08/2020;;;;;;;;;
4134;2022;LICENCIATURA;H;6;6;16/08/2000;22;MEXICANA;VERACRUZ;SOLEDAD ATZOMPA, VER.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA MECÁNICA AGRÍCOLA;INGENIERÍA MECATRÓNICA AGRÍCOLA;CHAPINGO;MÉXICO;23/07/2016;;;;;;NÁHUATL;;;
4135;2022;LICENCIATURA;H;4;4;27/03/2003;19;MEXICANA;PUEBLA;TLACOTEPEC DE B.JUAREZ, PUE.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;9/06/2021;;;PUEBLA;;NI;;;;
4136;2022;LICENCIATURA;H;5;1;17/01/2002;20;MEXICANA;SAN LUIS POTOSÍ;SAN ANTONIO, S.L.P.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS;INGENIERO AGRÓNOMO ESPECIALISTA EN SUELOS;CHAPINGO;MÉXICO;31/07/2017;;;;;;HUASTECO;;;
4137;2022;LICENCIATURA;M;5;1;30/08/2003;19;MEXICANA;OAXACA;SAN NICOLAS HIDALGO, OAX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DEIS EN IRRIGACIÓN;INGENIERO EN IRRIGACIÓN;CHAPINGO;MÉXICO;31/07/2018;;;;;;;;;
4138;2022;LICENCIATURA;M;7;5;1/01/2000;22;MEXICANA;OAXACA;TATALTEPEC DE VALDES, OAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;2/08/2018;;;;;;;;;
4139;2022;LICENCIATURA;M;7;2;8/05/1997;25;MEXICANA;HIDALGO;CUAUTEPEC DE HINOJOSA, HGO.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA AGROINDUSTRIAL;INGENIERÍA AGROINDUSTRIAL;CHAPINGO;MÉXICO;2/08/2018;;;;;;;;;
4140;2022;MEDIO SUPERIOR;H;1;7;2/11/2007;14;MEXICANA;OAXACA;SAN PEDRO QUIATONI, OAX.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;2/08/2022;;;;;NI;;;;
4141;2022;LICENCIATURA;M;4;3;4/05/2002;20;MEXICANA;OAXACA;SANTA CRUZ XITLA, OAX.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS;INGENIERÍA EN RECURSOS NATURALES RENOVABLES;CHAPINGO;MÉXICO;9/06/2021;;;OAXACA;;NI;;;;
